M_H,T_eff,log_g,z,Y,i,r
00,10000,g00,459972462752502.1,363534107332577.75,704150717820618.0,1253941074649406.0
00,10000,g05,770628711907979.2,604292004785391.6,1170900355771240.5,2121826841930863.0
00,10000,g10,1019613633231510.4,795544138006896.1,1538149328318879.0,2838926066175433.5
00,10000,g15,1232073270837146.2,960083959595562.1,1844247313570190.8,3449661620868810.5
00,10000,g20,1313654494500642.2,1026809330616666.2,1957433232369122.8,3692711734861056.5
00,10000,g25,1357120273462743.2,1067382865201134.6,2025545253623508.5,3838717387764087.0
00,10000,g30,1384549701095301.5,1099367467434644.5,2085490444500142.5,3966714008920776.0
00,10000,g35,1366346638072401.8,1098587303624379.4,2086423856908779.8,3963623379209752.5
00,10000,g40,1342514525615913.0,1092522405611303.2,2094691835567065.2,3971318584686772.0
00,10000,g45,1342766478985465.2,1102361409155855.1,2143451942603611.0,4045290300114102.0
00,10000,g50,1333400618273858.0,1099534321132682.5,2173674134535631.2,4075684866945315.0
00,10200,g00,454346407884238.25,358096714502992.44,701573126748112.0,1256887076359066.0
00,10200,g05,787913983391353.5,616797797852583.5,1211899217750699.8,2212056809691604.2
00,10200,g10,1061381667350481.2,827278382294615.5,1618210120320225.8,3002425973206515.0
00,10200,g15,1293096391002578.2,1006518996665610.4,1959896802865714.8,3686569360105348.5
00,10200,g20,1382163607962212.8,1078826291034064.0,2086736679078743.0,3958624365104912.0
00,10200,g25,1399803934324639.0,1098892959311240.4,2102646045314201.8,3999837003440100.5
00,10200,g30,1429247453889992.2,1132207625339012.5,2164346687762478.2,4135216691832848.5
00,10200,g35,1406186191136478.0,1127654699236692.5,2154536673974840.0,4113407520952274.0
00,10200,g40,1380756880196222.2,1121064136877937.5,2160338336874795.0,4119871185808200.0
00,10200,g45,1378943843105872.8,1130225084888449.2,2207110039765181.2,4191757040355724.0
00,10400,g00,459503801589581.7,361805130873453.5,712594609921080.2,1281949441793710.8
00,10400,g05,806533240586192.4,630845444101886.9,1245560176024697.8,2280153617858968.0
00,10400,g10,1090233999705670.9,849023188228330.0,1670865782605275.5,3108439162162592.0
00,10400,g15,1331273188023281.5,1035130719190876.2,2030353475198944.8,3829024163314860.0
00,10400,g20,1421408698813966.8,1108040262286430.6,2159157611871084.2,4107271991386502.0
00,10400,g25,1442164543722580.0,1130296043288682.5,2179946806813629.5,4160499368263618.5
00,10400,g30,1472031968487693.2,1163528649603454.5,2240658155409307.8,4296718125064353.5
00,10400,g35,1448835167847962.0,1158927016568189.5,2229492670010763.0,4271360867143669.0
00,10400,g40,1419400291750997.5,1149560246355344.8,2226631333766027.2,4268578338103100.0
00,10400,g45,1419019575173469.2,1160325500018660.5,2276426694862035.5,4345204240514334.5
00,10600,g00,472345105213153.56,371676751731817.56,738109757298934.2,1329459087501924.8
00,10600,g05,809836373988334.6,632881146763399.1,1255354236321219.8,2304743689385642.5
00,10600,g10,1099495734079687.0,855476720794227.1,1692330976247925.0,3156206053716620.5
00,10600,g15,1354088196846088.0,1051934144094510.0,2075864110565042.5,3921571113411703.5
00,10600,g20,1460003531905812.0,1136737183855358.2,2235509784677694.0,4253889860020302.5
00,10600,g25,1484801268495920.8,1162021706742533.5,2264040596408041.5,4314500087337439.5
00,10600,g30,1520771351865728.2,1198842987107774.5,2334754743536274.0,4461492871425335.0
00,10600,g35,1499466676798651.8,1194001604154864.5,2319806618340844.0,4435259256296714.5
00,10600,g40,1471648149381083.2,1184099009502290.8,2313138251502184.0,4418752820460806.5
00,10600,g45,1473046065754088.0,1196727155835267.0,2359941989796219.0,4501519501076095.5
00,10800,g00,484166434512554.1,380679921889449.1,762621244660377.5,1376304633152235.5
00,10800,g05,828441487810113.1,646916465696942.2,1289009627627161.2,2373250070705586.5
00,10800,g10,1126684556739432.8,875922877955743.6,1741908692406241.5,3257155505669058.5
00,10800,g15,1390290903955655.8,1079054210200963.1,2142579918861816.8,4057692695180832.5
00,10800,g20,1500145930811128.8,1166655811879296.0,2310010853723411.5,4407040025004872.5
00,10800,g25,1527016358428216.0,1193424594379846.8,2341901335864967.5,4476435068101937.5
00,10800,g30,1563562596517127.5,1230482171851649.0,2412834892548169.5,4626792416652027.0
00,10800,g35,1540677937861647.0,1224576249917181.8,2394132826714301.5,4595925359665475.0
